Name,Description,Category,Hours,Location,PC,Phone,Email,Website,X,Y
Douglas College Food Bank,Provides food bank services for Douglas College students.,Food Programs and Services,"Monday-Friday, 9:00 am - 4:00 pm",700 Royal Avenue,V3M 5Z5,(604)527-5110,nwcoordinator@douglasstudentsunion.ca,http://dsu18.ca/services/food-bank/,-122.91274781516,49.2035020141153
Ecole Qayqayt Elementary School - Hot Lunch Program,Provides an in-house hot lunch program for Ecole Qayqayt Elementary School Students (grades K-7).,Food Programs and Services,,85 Merivale Street,V3L 0G2,(604)517-6168,bwheeler@sd40.bc.ca,http://district.sd40.bc.ca/services/school-meals,-122.905121171493,49.2079363131596
Holy Trinity Anglican Cathedral - Breakfast Program,Drop-in breakfast.,Food Programs and Services,"Thursday, 8:00 am - 9:00 am",514 Carnarvon Street,V3L 1C4,(604)521-2511,,http://holytrinitycathedral.ca/our-programs/breakfast-program/,-122.907515335807,49.2046094920071
Lord Kelvin Elementary School - Hot Lunch Program,Provides an in-house hot lunch program for Lord Kelvin Elementary School Students (grades K-7).,Food Programs and Services,,1010 Hamilton Street,V3M 2M9,(604)517-6168,bwheeler@sd40.bc.ca,http://district.sd40.bc.ca/services/school-meals,-122.930192100867,49.2107343430156
New Westminster Family Place,Food bank drop-in.,Food Programs and Services,"Tuesday - Wednesday, 9:00 am - 11:00 am",101 - 93 Sixth Street,V3L 2Z8,(604)520-3666,info@nwfamily.bc.ca,http://nwfamily.bc.ca/?page_id=21,-122.909922117847,49.2053088668964
Port Royal Community Garden,"New Westminster residents can grow food in a community garden in Port Royal. Actual community garden is located in Port Royal Park (near Star Crescent); location shown is just the administrative location. There are other community gardens in New Westminster, with more information available on the New Westminster Parks and Rec Society website (http://www.newwestpcr.ca/parks/park_amenities/community_gardens.php).",Food Programs and Services,,920 Ewen Avenue,V3M 5C8,(604)525-7388,rchadwick@newwestcity.ca,http://www.portroyalgardens.ca/about/,-122.943616871855,49.1858839255447
Pregnancy Outreach Programs - Olivet Baptist Church,"These programs assist pregnant women and their infants who need extra help and support. Programs may provide weekly lunches, food vouchers and prenatal vitamins. Program provided through Burnaby Family Life Institute.",Food Programs and Services,"Tuesday, 10:30 am - 1:00 pm for moms and babies up to 6 months, Tuesday, 12:00 pm - 2:30 pm for pregnant women",613 Queens Avenue,V3M 1L1,(604)659-2200,bfl_info@burnabyfamilylife.org,http://www.fraserhealth.ca/find-us/services/our-services?program_id=13648,-122.914210700358,49.2068182806286
Queen Elizabeth Elementary School - Hot Lunch Program,Provides an in-house hot lunch program for Queen Elizabeth Elementary School Students (grades K-4).,Food Programs and Services,,921 Salter Street,V3M 6G8,(604)517-6168,bwheeler@sd40.bc.ca,http://district.sd40.bc.ca/services/school-meals,-122.943572316279,49.1848190369933
Queens Avenue United Church - Community Lunch,Community lunch.,Food Programs and Services,"Wednesday, 11:30 am - 1:00 pm",529 Queens Avenue,V3L 1K2,(604)522-1606,queensaveuc@telus.net,http://queensavenue.org/ministries/community-lunch/,-122.912492843019,49.2076533302657
Queensborough Middle School - Hot Lunch Program,Provides an in-house hot lunch program for Queensborough Middle School Students (grades 5-8).,Food Programs and Services,,833 Salter Street,V3M 6G8,(604)517-6168,bwheeler@sd40.bc.ca,http://district.sd40.bc.ca/services/school-meals,-122.940931470779,49.1863200134238
Saint Barnabas Anglican Church- Community Meal and Food Cupboard Programs,Community meal provides lunch and is open to all. Food cupboard program provides emergency food hampers for a couple of meals.,Food Programs and Services,"Community Meal: Thursday, 11:00 am, Emergency Food Cupboard: Friday, 10:00 am-12:00 pm",1010 Fifth Avenue,V3M 1Y5,(604)526-6646,,http://stbarnabasparish.ca/ministry/,-122.925520522079,49.207702269467
Salvation Army - Community Lunch and Food Programs,"Community lunch program. Drop in food program (free bread), emergency food rations available by appointment. Also has a produce day program.",Food Programs and Services,"Emergency food program: Monday-Friday, 10:00 am - 12:00 pm (by appointment). Saturday Brunch: Saturday, 10:00 am. Sunday meal program: Sunday, 12:30 pm, Produce day program: Wednesday, 1:00 pm",325 Sixth Street,V3L 3A9,(604)521-2421,,http://www.salvationarmy.ca/britishcolumbia/regions/,-122.915678834089,49.2098241948219
Spirit of the Children Society - Traditional Kitchen for Aboriginal Families and Youth,"Create a meal together in positive environment, share and learn recipes, learn how to shop for foods on a budget, learn about healthy eating habits, and experience traditional Aboriginal foods.",Food Programs and Services,,201 - 768 Columbia Street,V3M 1B4,(604)524-9113,reception@sotcs.ca,http://www.sotcs.ca/programsservices/traditional-kitchen-for-aboriginal-families-and-youth/,-122.910794429807,49.2011897037881
Union Gospel Mission,Breakfast and soup programs.,Food Programs and Services,"Breakfast Service: Monday-Friday, 8:30 am - 9:30 am, Soup Service: Monday-Friday, 11:15 am - 12:00 pm",658 Clarkson Street,V3M 1E1,(604)525-8989,contact@ugm.ca ,https://www.ugm.ca/program-meal-times/,-122.909344160531,49.2027993084214
